1,marcin dorociński
2,tomasz kot
3,joanna kulig
4,janusz gajos
5,eugeniusz bodo
6,piotr stramowski
7,jan englert
8,weronika rosati
9,jerzy stuhr
10,tedeusz borowski
11,rafał zawierucha
12,cezary pazura
13,joanna pacuła
14,piotr adamczyk
15,paweł deląg
16,dagmara bryzek
17,agnieszka grochowska
18,daniel olbrychski
19,maciej stuhr
20,mateusz damięcki
21,piotr fronczewski
22,bogusław linda
23,mirosław zbrojewicz
24,marian dziędziel
25,mikołaj roznerski
26,andrzej grabowski
27,krystian pesta
28,maria pawłowska
29,małgorzata kożuchowska
30,zbigniew buczkowski